business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,attributes,Categories,price_rating
19102_African_Alice,Alice Pizza      ,235 S 15th St,Philadelphia,PA,19102,39.948332,-75.166127,4.5,243,"""{RestaurantsTakeOut: True, GoodForMeal: \""{dessert: True, latenight: False, lunch: True, dinner: True, brunch: False, breakfast: False}\"", Ambience: \""{touristy: False, hipster: False, romantic: False, divey: False, intimate: False, trendy: True, upscale: False, classy: False, casual: True}\"", RestaurantsPriceRange2: 2, OutdoorSeating: True, RestaurantsGoodForGroups: True, HasTV: True, WiFi: \""ufree\"", RestaurantsReservations: True, Alcohol: \""ufull_bar\"", RestaurantsAttire: \""casual\"", BikeParking: False, GoodForKids: True, BusinessParking: \""{garage: False, street: True, validated: False, lot: False, valet: False}\"", RestaurantsDelivery: True, DogsAllowed: False, WheelchairAccessible: True, RestaurantsTableService: True, HappyHour: True, Caters: True, NoiseLevel: \""average\""}""",African,2
19104_African_Renata's,Renata's Kitchen      ,3940 Baltimore Ave,Philadelphia,PA,19104,39.9496602,-75.2026672,4,203,"""{RestaurantsAttire: \""ucasual\"", WiFi: \""ufree\"", BusinessAcceptsBitcoin: False, NoiseLevel: \""uaverage\"", DogsAllowed: False, RestaurantsReservations: True, RestaurantsDelivery: True, GoodForKids: True, RestaurantsPriceRange2: 2, RestaurantsGoodForGroups: True, OutdoorSeating: True, WheelchairAccessible: True, HappyHour: True, Ambience: \""{udivey: False, uhipster: None, ucasual: True, utouristy: False, utrendy: None, uintimate: None, uromantic: False, uclassy: False, uupscale: False}\"", RestaurantsTakeOut: True, BusinessParking: \""{garage: False, street: True, validated: False, lot: False, valet: False}\"", GoodForMeal: \""{dessert: None, latenight: False, lunch: True, dinner: None, brunch: True, breakfast: None}\"", Caters: True, HasTV: True, Alcohol: \""ufull_bar\"", BYOB: False, RestaurantsTableService: True}""",African,2
19107_African_Bill's,Bill's Breakfast & Lunch    ,1312 Sansom St,Philadelphia,PA,19107,39.9498484,-75.1627607,4,132,"""{RestaurantsPriceRange2: 1,  RestaurantsAttire: \""ucasual\"", Caters: True, RestaurantsGoodForGroups: False, GoodForKids: True, RestaurantsReservations: False, NoiseLevel: \""uaverage\"", Alcohol: \""unone\"", RestaurantsTakeOut: True, Ambience: \""{touristy: False, hipster: False, romantic: False, divey: None, intimate: False, trendy: False, upscale: False, classy: False, casual: True}\"", DogsAllowed: False, HappyHour: False, GoodForMeal: \""{dessert: False, latenight: False, lunch: True, dinner: False, brunch: False, breakfast: True}\"", HasTV: True, BusinessParking: \""{uvalet: False, ugarage: True, ustreet: None, ulot: False, uvalidated: False}\""}""",African,1
19107_African_Sang,Sang Kee Peking Duck House   ,238 N 9th St,Philadelphia,PA,19107,39.9563986,-75.1542873,4,926,"""{Alcohol: \""ufull_bar\"", RestaurantsGoodForGroups: True, RestaurantsReservations: True, Caters: True,  RestaurantsTakeOut: True, GoodForKids: True, Corkage: False, RestaurantsPriceRange2: 2, BusinessParking: \""{garage: False, street: True, validated: False, lot: False, valet: False}\"", BYOBCorkage: \""yes_free\"", RestaurantsAttire: \""casual\"", NoiseLevel: \""uaverage\"", ByAppointmentOnly: False, DogsAllowed: False, Ambience: \""{touristy: False, hipster: False, romantic: False, divey: False, intimate: False, trendy: False, upscale: False, classy: True, casual: True}\"", RestaurantsTableService: True, BusinessAcceptsBitcoin: False, RestaurantsDelivery: True, BYOB: False, HappyHour: False, GoodForMeal: \""{ubreakfast: False, ubrunch: None, ulunch: True, udinner: True, ulatenight: None, udessert: False}\"", WheelchairAccessible: True, HasTV: False}""",African,2
19123_African_Ken,Ken Shin Asian Diner    ,301 Spring Garden St,Philadelphia,PA,19123,39.96108642,-75.14354671,3.5,152,"""{HasTV: True, NoiseLevel: \""uaverage\"", RestaurantsGoodForGroups: True, GoodForKids: True, RestaurantsReservations: True, RestaurantsPriceRange2: 2, RestaurantsTakeOut: True, Alcohol: \""unone\"", RestaurantsAttire: \""ucasual\"",  Ambience: \""{romantic: False, intimate: False, touristy: False, hipster: False, divey: False, classy: False, trendy: False, upscale: False, casual: True}\"", BusinessParking: \""{garage: False, street: True, validated: False, lot: True, valet: False}\"", RestaurantsDelivery: True, WiFi: \""no\"", Caters: True, GoodForMeal: \""{dessert: False, latenight: False, lunch: True, dinner: True, brunch: False, breakfast: False}\"", HappyHour: True}""",African,2
19130_African_Osteria,Osteria       ,640 N Broad St,Philadelphia,PA,19130,39.965015,-75.161076,4,877,"""{RestaurantsPriceRange2: 3, BusinessParking: \""{garage: False, street: True, validated: False, lot: False, valet: False}\"", RestaurantsDelivery: True, RestaurantsGoodForGroups: True, , RestaurantsReservations: True, RestaurantsAttire: \""ucasual\"", BYOBCorkage: \""no\"", NoiseLevel: \""uaverage\"", GoodForKids: False, BestNights: \""{monday: True, tuesday: False, friday: True, wednesday: False, thursday: False, sunday: False, saturday: False}\"", WiFi: \""ufree\"", CoatCheck: True, Caters: True, ByAppointmentOnly: False, Music: \""{dj: False, background_music: False, no_music: False, jukebox: False, live: False, video: False, karaoke: None}\"", Smoking: \""uno\"", GoodForDancing: False, Ambience: \""{touristy: False, hipster: False, romantic: False, divey: False, intimate: False, trendy: False, upscale: False, classy: True, casual: False}\"", OutdoorSeating: True, RestaurantsTableService: True, WheelchairAccessible: True, BusinessAcceptsBitcoin: False, GoodForMeal: \""{dessert: False, latenight: False, lunch: None, dinner: True, brunch: False, breakfast: False}\"", HasTV: False, RestaurantsTakeOut: True, HappyHour: True}""",African,3
19143_African_The,The Satellite Cafe     ,701 S 50th St,Philadelphia,PA,19143,39.9476547,-75.2227069,3.5,158,"""{WiFi: \""ufree\"", RestaurantsPriceRange2: 1, OutdoorSeating: True, Caters: False, RestaurantsTakeOut: True, BusinessParking: \""{garage: False, street: True, validated: False, lot: False, valet: False}\"", RestaurantsReservations: False, NoiseLevel: \""uaverage\"", RestaurantsAttire: \""ucasual\"", HasTV: False, GoodForKids: False, Ambience: \""{romantic: False, intimate: False, touristy: False, hipster: True, divey: False, classy: False, trendy: False, upscale: False, casual: False}\"", DogsAllowed: False, GoodForMeal: \""{dessert: False, latenight: False, lunch: True, dinner: False, brunch: False, breakfast: True}\"", RestaurantsGoodForGroups: False, BusinessAcceptsBitcoin: False, WheelchairAccessible: True, RestaurantsTableService: False, Alcohol: \""unone\""}""",African,1
19147_African_Sarcone's,Sarcone's Deli      ,734 S 9th St,Philadelphia,PA,19147,39.94063545,-75.15760215,4,206,"""{RestaurantsReservations: False, RestaurantsAttire: \""casual\"", RestaurantsPriceRange2: 1, BusinessParking: \""{garage: False, street: True, validated: False, lot: False, valet: False}\"", Corkage: False, GoodForKids: True, Alcohol: \""none\"", RestaurantsTakeOut: True, BYOBCorkage: \""yes_free\"", HasTV: False, Caters: True, OutdoorSeating: True, NoiseLevel: \""uaverage\"", RestaurantsGoodForGroups: False, Ambience: \""{romantic: False, intimate: False, touristy: False, hipster: False, divey: False, classy: False, trendy: False, upscale: False, casual: True}\"", WiFi: \""uno\""}""",African,1
19102_American_1518,1518 Bar & Grill    ,1518 Sansom St,Philadelphia,PA,19102,39.9501977,-75.1666386,4,221,"""{RestaurantsTakeOut: True, GoodForKids: False, Caters: False, BusinessParking: \""{garage: False, street: True, validated: False, lot: False, valet: False}\"", RestaurantsAttire: \""ucasual\"", RestaurantsPriceRange2: 2, RestaurantsGoodForGroups: True, NoiseLevel: \""uaverage\"", HasTV: True, HappyHour: True, GoodForMeal: \""{dessert: False, latenight: False, lunch: True, dinner: False, brunch: False, breakfast: False}\"", Alcohol: \""ufull_bar\"", Ambience: \""{romantic: False, intimate: False, touristy: False, hipster: False, divey: False, classy: False, trendy: False, upscale: False, casual: True}\"", BestNights: \""{monday: False, tuesday: False, friday: True, wednesday: False, thursday: True, sunday: False, saturday: True}\"", OutdoorSeating: True, Music: \""{dj: False, background_music: False, no_music: False, jukebox: False, live: False, video: False, karaoke: False}\"", RestaurantsReservations: True, RestaurantsDelivery: True}""",American,2
19102_American_500,500 Degrees      ,1504 Sansom St,Philadelphia,PA,19102,39.9503631,-75.1662246,3.5,443,"""{RestaurantsReservations: False,  BusinessParking: \""{garage: False, street: True, validated: False, lot: False, valet: False}\"", GoodForKids: True, Alcohol: \""unone\"", Caters: False, Ambience: \""{romantic: False, intimate: False, touristy: False, hipster: False, divey: False, classy: False, trendy: False, upscale: False, casual: True}\"", RestaurantsGoodForGroups: False, RestaurantsAttire: \""ucasual\"", RestaurantsTakeOut: True, RestaurantsPriceRange2: 2, HasTV: False, NoiseLevel: \""uaverage\"", HappyHour: True}""",American,2
